scenario,region,year,tcsi
ssp245,West Coast,2066,0.8289
ssp245,West Coast,2067,0.8577
ssp245,West Coast,2068,0.8333
ssp245,West Coast,2069,0.8235
ssp245,West Coast,2070,0.8388
ssp245,West Coast,2071,0.8064
ssp245,West Coast,2072,0.8389
ssp245,West Coast,2073,0.8284
ssp245,West Coast,2074,0.8017
ssp245,West Coast,2075,0.8344
ssp245,West Coast,2076,0.8199
ssp245,West Coast,2077,0.8318
ssp245,West Coast,2078,0.8162
ssp245,West Coast,2079,0.7842
ssp245,West Coast,2080,0.7757
ssp245,West Coast,2081,0.8738
ssp245,West Coast,2082,0.86
ssp245,West Coast,2083,0.8289
ssp245,West Coast,2084,0.8704
ssp245,West Coast,2085,0.796
ssp245,West Coast,2086,0.8404
ssp245,West Coast,2087,0.8432
ssp245,West Coast,2088,0.8002
ssp245,West Coast,2089,0.8735
ssp245,West Coast,2090,0.8448
ssp245,West Coast,2091,0.8698
ssp245,West Coast,2092,0.8059
ssp245,West Coast,2093,0.831
ssp245,West Coast,2094,0.8124
ssp245,West Coast,2095,0.8586
ssp245,West Coast,2096,0.8344
ssp245,West Coast,2097,0.8538
ssp245,West Coast,2098,0.8176
ssp245,West Coast,2099,0.8635
ssp245,West Coast,2100,0.835
ssp245,Northwest / Mountain,2015,0.6014
ssp245,Northwest / Mountain,2016,0.5541
ssp245,Northwest / Mountain,2017,0.5754
ssp245,Northwest / Mountain,2018,0.6562
ssp245,Northwest / Mountain,2019,0.5477
ssp245,Northwest / Mountain,2020,0.6362
ssp245,Northwest / Mountain,2021,0.6082
ssp245,Northwest / Mountain,2022,0.5836
ssp245,Northwest / Mountain,2023,0.6767
ssp245,Northwest / Mountain,2024,0.5679
ssp245,Northwest / Mountain,2025,0.6144
ssp245,Northwest / Mountain,2026,0.5818
ssp245,Northwest / Mountain,2027,0.6976
ssp245,Northwest / Mountain,2028,0.7006
ssp245,Northwest / Mountain,2029,0.5474
ssp245,Northwest / Mountain,2030,0.6134
ssp245,Northwest / Mountain,2031,0.5514
ssp245,Northwest / Mountain,2032,0.5579
ssp245,Northwest / Mountain,2033,0.5979
ssp245,Northwest / Mountain,2034,0.5629
ssp245,Northwest / Mountain,2035,0.5486
ssp245,Northwest / Mountain,2036,0.601
ssp245,Northwest / Mountain,2037,0.5236
ssp245,Northwest / Mountain,2038,0.5949
ssp245,Northwest / Mountain,2039,0.5395
ssp245,Northwest / Mountain,2040,0.5735
ssp245,Northwest / Mountain,2041,0.5751
ssp245,Northwest / Mountain,2042,0.5215
ssp245,Northwest / Mountain,2043,0.6055
ssp245,Northwest / Mountain,2044,0.536
ssp245,Northwest / Mountain,2045,0.4981
ssp245,Northwest / Mountain,2046,0.5324
ssp245,Northwest / Mountain,2047,0.6207
ssp245,Northwest / Mountain,2048,0.5855
ssp245,Northwest / Mountain,2049,0.5194
ssp245,Northwest / Mountain,2050,0.6776
ssp245,Northwest / Mountain,2051,0.6044
ssp245,Northwest / Mountain,2052,0.5979
ssp245,Northwest / Mountain,2053,0.6051
ssp245,Northwest / Mountain,2054,0.5449
ssp245,Northwest / Mountain,2055,0.5766
ssp245,Northwest / Mountain,2056,0.568
ssp245,Northwest / Mountain,2057,0.65
ssp245,Northwest / Mountain,2058,0.4993
ssp245,Northwest / Mountain,2059,0.4525
ssp245,Northwest / Mountain,2060,0.5667
ssp245,Northwest / Mountain,2061,0.5844
ssp245,Northwest / Mountain,2062,0.567
ssp245,Northwest / Mountain,2063,0.4994
ssp245,Northwest / Mountain,2064,0.6016
ssp245,Northwest / Mountain,2065,0.5006
ssp245,Northwest / Mountain,2066,0.5222
ssp245,Northwest / Mountain,2067,0.6131
ssp245,Northwest / Mountain,2068,0.6267
ssp245,Northwest / Mountain,2069,0.5274
ssp245,Northwest / Mountain,2070,0.4529
ssp245,Northwest / Mountain,2071,0.5695
ssp245,Northwest / Mountain,2072,0.5946
ssp245,Northwest / Mountain,2073,0.5372
ssp245,Northwest / Mountain,2074,0.5066
ssp245,Northwest / Mountain,2075,0.5821
ssp245,Northwest / Mountain,2076,0.6924
ssp245,Northwest / Mountain,2077,0.5092
ssp245,Northwest / Mountain,2078,0.5691
ssp245,Northwest / Mountain,2079,0.6676
ssp245,Northwest / Mountain,2080,0.5883
ssp245,Northwest / Mountain,2081,0.6084
ssp245,Northwest / Mountain,2082,0.5321
ssp245,Northwest / Mountain,2083,0.5431
ssp245,Northwest / Mountain,2084,0.5876
ssp245,Northwest / Mountain,2085,0.543
ssp245,Northwest / Mountain,2086,0.5453
ssp245,Northwest / Mountain,2087,0.5049
ssp245,Northwest / Mountain,2088,0.4279
ssp245,Northwest / Mountain,2089,0.5107
ssp245,Northwest / Mountain,2090,0.5313
ssp245,Northwest / Mountain,2091,0.5829
ssp245,Northwest / Mountain,2092,0.4881
